optimizer,learning rate,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness,non uniformity,sharpness test,non uniformity test
adagrad,0.05,25,320,130,0.0001,100.0,1.98605,82.2,0.0,3.0,0,0
adagrad,0.01,25,170,74,9e-05,100.0,1.52453,83.3,1.0,8.0,0,0
sgd,0.01,25,3480,945,0.0001,100.0,1.79273,81.0,2.0,7.0,0,0
sgd,0.001,5,49,54,0.82589,69.9,0.8625200000000001,66.3,48.0,95.0,0,0
adagrad,0.001,5,49,94,0.23148000000000002,92.7,0.54618,81.5,139.0,338.0,0,0
adagrad,0.01,5,49,104,0.00806,99.6,1.23445,82.6,27.0,301.0,0,0
sgd,0.01,5,49,56,0.17171,94.2,0.8620700000000001,79.5,55.0,331.0,0,0
sgd,0.05,1000,9999,1282,0.00045,100.0,1.41462,81.7,3.0,18.0,0,0
lbfgs,0.75,1000,400,471,0.0,100.0,57.72714000000001,79.3,1.0,9.0,0,0
adagrad,0.05,1000,9999,1468,0.25581,86.1,2.1776299999999997,70.2,23.0,520.0,0,0
adagrad,0.001,1000,9999,1360,0.00033999999999999997,100.0,1.28643,82.2,3.0,19.0,0,0
sgd,0.1,5,200,190,2.9999999999999997e-05,100.0,1.71445,82.6,0.0,0.0,0,0
adagrad,0.1,5,400,835,5e-05,100.0,2.3557799999999998,80.9,0.0,1.0,0,0
sgd,0.05,5,200,199,5e-05,100.0,1.66071,82.8,0.0,1.0,0,0
adagrad,0.05,5,200,392,8e-05,100.0,1.77036,82.7,0.0,3.0,0,0
sgd,0.001,5,7000,6495,0.0001,100.0,1.90124,80.5,2.0,9.0,0,0
sgd,0.1,100,1360,217,0.0001,100.0,1.41057,82.8,1.0,3.0,0,0
adagrad,0.1,100,1160,246,0.0001,100.0,2.28297,80.2,1.0,14.0,0,0
sgd,0.01,100,14520,2176,0.0001,100.0,1.87727,81.0,2.0,9.0,0,0
adagrad,0.01,100,280,62,0.0001,100.0,1.36945,82.8,1.0,6.0,0,0
sgd,0.75,100,19999,2946,2.29981,11.5,2.30677,10.2,0.0,0.0,0,0
lbfgs,0.025,1000,400,707,0.0,100.0,5.9349099999999995,79.8,0.0,0.0,0,0
lbfgs,0.1,1000,400,461,0.0,100.0,11.59787,79.7,0.0,0.0,0,0
lbfgs,0.01,1000,400,1722,0.0,100.0,4.756959999999999,79.5,0.0,0.0,0,0
lbfgs,0.1,1000,400,509,0.0,100.0,9.29752,79.8,0.0,0.0,0,0
sgd,0.1,1000,14000,1286,0.0001,100.0,1.45377,82.5,0.0,0.0,3,1
adagrad,0.1,1000,19999,1911,0.00016999999999999999,100.0,3.8458,73.3,0.0,0.0,33,3
lbfgs,0.075,1000,400,536,0.0,100.0,8.80257,80.3,0.0,0.0,0,0
sgd,0.075,1000,19600,1780,0.0001,100.0,1.53714,82.3,0.0,0.0,4,1
adagrad,0.075,1000,19999,1946,0.01584,99.6,3.67476,73.6,0.0,0.0,80,7
lbfgs,0.01,1000,400,1626,0.0,100.0,5.15604,80.0,0.0,0.0,0,0
sgd,0.01,1000,19999,1783,0.0021,100.0,1.3346,80.8,0.0,0.0,135,32
adagrad,0.01,1000,1600,158,7e-05,100.0,1.54064,83.2,0.0,0.0,4,0
lbfgs,0.025,1000,400,1010,0.0,100.0,6.04225,80.2,0.0,0.0,0,0
sgd,0.025,1000,19999,1716,0.00045,100.0,1.56664,81.0,0.0,0.0,26,6
adagrad,0.025,1000,2800,257,8e-05,100.0,2.0178700000000003,82.2,0.0,0.0,9,1
lbfgs,0.05,1000,400,950,0.0,100.0,9.96531,79.6,0.0,0.0,0,0
